WT,CCR5 KO
3.478549209,4.983642079
2.234099658,3.502187349
1.724467937,2.469725945
1.723056214,2.210395857
0.965880644,2.50803943
0.726249005,1.465072187
0.490557056,1.202951484
0.217963344,1.474133473
0.479952724,0.976419314
-0.053349968,0.752513604
0.505002585,0.742007764
0.256178337,1.004062805
